transaction_id,customer_id,amount,payment_status,failure_reason,payment_method,successful_payments,previous_recovery_attempts,created_at
TXN0001,CUST038,3000,success,,netbanking,20,0,2026-08-16 08:12:30
TXN0002,CUST015,2500,success,,netbanking,9,0,2026-08-16 08:12:30
TXN0003,CUST025,7500,failed,authentication_failed,netbanking,1,1,2026-08-15 13:12:30
TXN0004,CUST014,2500,success,,upi,10,0,2026-08-19 17:12:30
TXN0005,CUST067,3000,success,,wallet,10,0,2026-08-19 20:12:30
TXN0006,CUST015,2500,success,,wallet,0,0,2026-08-16 09:12:30
TXN0007,CUST040,5000,success,,upi,18,0,2026-08-18 22:12:30
TXN0008,CUST030,7500,success,,upi,4,0,2026-08-15 04:12:30
TXN0009,CUST029,5000,success,,netbanking,12,0,2026-08-19 15:12:30
TXN0010,CUST053,3000,success,,netbanking,6,0,2026-08-18 09:12:30
TXN0011,CUST031,2500,failed,bank_timeout,netbanking,15,1,2026-08-21 05:12:30
TXN0012,CUST073,10000,success,,wallet,1,0,2026-08-18 19:12:30
TXN0013,CUST044,1000,failed,upi_failure,card,9,2,2026-08-20 23:12:30
TXN0014,CUST068,5000,failed,upi_failure,upi,0,3,2026-08-19 16:12:30
TXN0015,CUST054,3000,success,,card,13,0,2026-08-17 18:12:30
TXN0016,CUST064,3000,success,,netbanking,10,0,2026-08-17 19:12:30
TXN0017,CUST005,10000,success,,netbanking,16,0,2026-08-17 20:12:30
TXN0018,CUST029,2500,failed,upi_failure,wallet,0,0,2026-08-17 08:12:30
TXN0019,CUST054,10000,success,,wallet,16,0,2026-08-21 14:12:30
TXN0020,CUST028,3000,success,,upi,16,0,2026-08-18 12:12:30
TXN0021,CUST080,5000,success,,card,0,0,2026-08-20 21:12:30
TXN0022,CUST052,5000,success,,netbanking,11,0,2026-08-19 03:12:30
TXN0023,CUST075,5000,failed,card_declined,netbanking,20,0,2026-08-19 00:12:30
TXN0024,CUST029,2000,success,,upi,16,0,2026-08-19 11:12:30
TXN0025,CUST074,10000,success,,netbanking,9,0,2026-08-18 12:12:30
TXN0026,CUST025,10000,failed,card_declined,wallet,12,0,2026-08-19 01:12:30
TXN0027,CUST027,2500,success,,card,19,0,2026-08-16 17:12:30
TXN0028,CUST076,10000,failed,network_error,netbanking,4,1,2026-08-20 18:12:30
TXN0029,CUST011,1500,success,,card,18,0,2026-08-16 23:12:30
TXN0030,CUST044,1000,failed,bank_timeout,card,4,1,2026-08-15 15:12:30
TXN0031,CUST003,7500,failed,upi_failure,card,20,0,2026-08-18 01:12:30
TXN0032,CUST023,2500,failed,network_error,card,6,2,2026-08-15 15:12:30
TXN0033,CUST028,2000,success,,upi,4,0,2026-08-16 12:12:30
TXN0034,CUST015,10000,success,,wallet,11,0,2026-08-16 03:12:30
TXN0035,CUST063,2500,success,,wallet,10,0,2026-08-19 09:12:30
TXN0036,CUST013,2000,success,,card,7,0,2026-08-17 16:12:30
TXN0037,CUST053,1500,success,,netbanking,7,0,2026-08-14 22:12:30
TXN0038,CUST020,2500,success,,netbanking,11,0,2026-08-17 03:12:30
TXN0039,CUST077,10000,success,,upi,16,0,2026-08-19 20:12:30
TXN0040,CUST008,10000,success,,upi,0,0,2026-08-15 01:12:30
TXN0041,CUST017,2000,failed,bank_timeout,netbanking,18,2,2026-08-15 16:12:30
TXN0042,CUST044,3000,success,,card,6,0,2026-08-17 05:12:30
TXN0043,CUST052,1500,success,,upi,8,0,2026-08-16 05:12:30
TXN0044,CUST060,1500,failed,insufficient_funds,netbanking,6,1,2026-08-20 07:12:30
TXN0045,CUST044,2000,failed,network_error,netbanking,13,2,2026-08-21 09:12:30
